rid,sid,status,nsid,day_change,sch_arr,sch_dep,dep_slack,end_route,start_route,rt_rev,link_dist
B/12/1,33434,0,31321,0,09:02:00,09:20:00,1080.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/1,31321,0,34056,0,10:52:00,11:07:00,900.0,"['KLYG', 'KLYM']","['KLYM', 'KLYG']",True,0.0
B/12/1,34056,0,31053,0,13:35:00,14:03:00,1680.0,"['NAI', 'KBGB']","['KBGB', 'NAI']",True,0.0
B/12/1,31053,0,30152,0,16:06:00,16:18:00,720.0,"['KNR', 'NH']","['NH', 'KNR']",True,0.0
B/12/1,30152,0,30135,0,18:09:00,18:18:00,540.0,"['RMRD', 'MJT']","['MJT', 'RMRD']",True,0.0
B/12/1,30135,0,31636,0,20:55:00,21:37:00,2520.0,"['PDX', 'RHA']","['RHA', 'PDX']",True,0.0
B/12/10,33811,0,33824,0,05:02:00,08:08:00,11160.0,"['BNAA', 'BNJ']","['BNJ', 'BNAA']",True,0.0
B/12/10,33824,0,33435,0,10:05:00,10:22:00,1020.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/10,30312,0,30331,0,17:18:00,17:26:00,480.0,"['RMRD', 'MJT']","['MJT', 'RMRD']",True,0.0
B/12/10,30331,0,33664,0,19:34:00,20:05:00,1860.0,"['ASKR', 'HB']","['HB', 'ASKR']",True,0.0
B/12/10,33664,0,31539,0,21:27:00,21:50:00,1380.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/11,31516,0,32223,0,08:07:00,08:23:00,960.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/11,32223,0,32224,0,09:07:00,09:15:00,480.0,"['RCD', 'DKAE']","['DKAE', 'RCD']",True,0.0
B/12/11,32224,0,32229,0,10:00:00,10:15:00,900.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/11,32229,0,32230,0,11:02:00,11:26:00,1440.0,"['RCD', 'DKAE']","['DKAE', 'RCD']",True,0.0
B/12/11,32230,0,33831,0,12:06:00,12:47:00,2460.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/11,33831,0,33840,0,14:41:00,15:22:00,2460.0,"['BNAA', 'BNJ']","['BNJ', 'BNAA']",True,0.0
B/12/11,33840,0,31531,0,17:20:00,17:52:00,1920.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/11,31531,0,31538,0,20:00:00,20:55:00,3300.0,"['BTKB', 'STB']","['STB', 'BTKB']",True,0.0
B/12/12,31811,0,31818,0,05:48:00,07:04:00,4560.0,"['JKL', 'KNJ']","['KNJ', 'JKL']",True,0.0
B/12/12,31818,0,31821,0,09:22:00,09:35:00,780.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/12,31821,0,31824,0,11:56:00,12:07:00,660.0,"['JKL', 'KNJ']","['KNJ', 'JKL']",True,0.0
B/12/12,31824,0,31329,0,14:25:00,14:40:00,900.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/12,31329,0,31328,0,16:10:00,16:32:00,1320.0,"['KLYG', 'KLYM']","['KLYM', 'KLYG']",True,0.0
B/12/12,31328,0,31239,0,18:00:00,18:28:00,1680.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/12,31239,0,31238,0,19:10:00,19:25:00,900.0,"['TGH', 'BP']","['BP', 'TGH']",True,0.0
B/12/12,31238,0,31627,0,20:05:00,20:25:00,1200.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/12,31627,0,31725,0,22:15:00,22:20:00,300.0,"['PDX', 'RHA']","['RHA', 'KLNP']",False,0.0
B/12/12,31725,0,31726,0,22:50:00,23:25:00,2100.0,"['JKL', 'KNJ']","['KNJ', 'JKL']",True,0.0
B/12/13,31712,0,31711,0,04:47:00,05:00:00,780.0,"['HLR', 'NH']","['NH', 'HLR']",True,0.0
B/12/13,31711,0,31723,0,05:42:00,06:05:00,1380.0,"['PDX', 'RHA']","['RHA', 'KLNP']",False,0.0
B/12/13,31723,0,31722,0,06:38:00,07:54:00,4560.0,"['JKL', 'KNJ']","['KNJ', 'JKL']",True,0.0
B/12/13,31722,0,33717,0,08:28:00,08:34:00,360.0,"['KLNP', 'RHA']","['RHA', 'CPHT']",False,0.0
B/12/13,33717,0,33362,0,09:15:00,09:28:00,780.0,"['STBB', 'BNJ']","['BNJ', 'BNAA']",False,0.0
B/12/13,33362,0,33365,0,10:35:00,11:30:00,3300.0,"['BMG', 'BT']","['BT', 'BMG']",True,0.0
B/12/13,33365,0,33724,0,12:35:00,13:00:00,1500.0,"['BNAA', 'BNJ']","['BNJ', 'STBB']",False,0.0
B/12/13,33724,0,33725,0,13:46:00,14:20:00,2040.0,"['CPHT', 'RHA']","['RHA', 'CPHT']",True,0.0
B/12/13,33725,0,33728,0,15:06:00,15:20:00,840.0,"['STBB', 'BNJ']","['BNJ', 'STBB']",True,0.0
B/12/13,33728,0,33729,0,16:03:00,16:34:00,1860.0,"['CPHT', 'RHA']","['RHA', 'CPHT']",True,0.0
B/12/13,33729,0,33732,0,17:20:00,18:00:00,2400.0,"['STBB', 'BNJ']","['BNJ', 'STBB']",True,0.0
B/12/13,33732,0,33735,0,18:42:00,19:45:00,3780.0,"['CPHT', 'RHA']","['RHA', 'CPHT']",True,0.0
B/12/13,33735,0,33736,0,20:31:00,21:02:00,1860.0,"['STBB', 'BNJ']","['BNJ', 'STBB']",True,0.0
B/12/13,33736,0,33743,0,21:45:00,22:10:00,1500.0,"['CPHT', 'RHA']","['RHA', 'CPHT']",True,0.0
B/12/14,33712,0,33713,0,05:02:00,06:22:00,4800.0,"['CPHT', 'RHA']","['RHA', 'CPHT']",True,0.0
B/12/14,33713,0,33716,0,07:01:00,07:20:00,1140.0,"['STBB', 'BNJ']","['BNJ', 'STBB']",True,0.0
B/12/14,33716,0,31781,0,08:05:00,08:15:00,600.0,"['CPHT', 'RHA']","['RHA', 'KLNP']",False,0.0
B/12/14,31781,0,31782,0,08:42:00,08:58:00,960.0,"['BTKB', 'STB']","['STB', 'BTKB']",True,0.0
B/12/14,31782,0,33719,0,09:22:00,09:27:00,300.0,"['KLNP', 'RHA']","['RHA', 'CPHT']",False,0.0
B/12/14,33719,0,33720,0,10:09:00,10:20:00,660.0,"['STBB', 'BNJ']","['BNJ', 'STBB']",True,0.0
B/12/14,33720,0,33723,0,11:05:00,11:20:00,900.0,"['CPHT', 'RHA']","['RHA', 'CPHT']",True,0.0
B/12/14,33723,0,33722,0,12:05:00,12:20:00,900.0,"['STBB', 'BNJ']","['BNJ', 'STBB']",True,0.0
B/12/14,33722,0,31783,0,13:00:00,13:05:00,300.0,"['CPHT', 'RHA']","['RHA', 'KLNP']",False,0.0
B/12/14,31783,0,31786,0,13:32:00,14:07:00,2100.0,"['BTKB', 'STB']","['STB', 'BTKB']",True,0.0
B/12/14,31786,0,31753,0,14:35:00,15:25:00,3000.0,"['KLNP', 'RHA']","['RHA', 'BNKA']",False,0.0
B/12/14,31753,0,31754,0,16:17:00,18:30:00,7980.0,"['HRSR', 'GEDE']","['GEDE', 'HRSR']",True,0.0
B/12/14,31754,0,31632,0,19:22:00,19:25:00,180.0,"['BNKA', 'RHA']","['RHA', 'PDX']",False,0.0
B/12/14,31632,0,32247,0,21:15:00,21:32:00,1020.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/14,32247,0,32250,0,22:17:00,22:32:00,900.0,"['RCD', 'DKAE']","['DKAE', 'RCD']",True,0.0
B/12/15,33815,0,30344,0,06:50:00,07:30:00,2400.0,"['BNAA', 'BNJ']","['BNJ', 'BNAA']",True,0.0
B/12/15,30344,0,30351,0,10:08:00,10:20:00,720.0,"['RMRD', 'MJT']","['MJT', 'RMRD']",True,0.0
B/12/15,33319,0,33316,0,19:32:00,19:40:00,480.0,"['TKF', 'HNB']","['HNB', 'TKF']",True,0.0
B/12/16,33432,0,31615,0,06:07:00,06:20:00,780.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/16,31615,0,31620,0,08:10:00,08:35:00,1500.0,"['PDX', 'RHA']","['RHA', 'PDX']",True,0.0
B/12/16,31620,0,31519,0,10:18:00,10:32:00,840.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/16,31519,0,31526,0,12:50:00,13:12:00,1320.0,"['BTKB', 'STB']","['STB', 'BTKB']",True,0.0
B/12/16,31526,0,33839,0,15:32:00,15:50:00,1080.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/16,33839,0,33848,0,17:42:00,18:28:00,2760.0,"['BNAA', 'BNJ']","['BNJ', 'BNAA']",True,0.0
B/12/16,33848,0,32413,0,20:25:00,20:42:00,1020.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/16,32413,0,32414,0,21:29:00,23:05:00,5760.0,"['RCD', 'DKAE']","['DKAE', 'RCD']",True,0.0
B/12/17,31411,0,34052,0,05:40:00,05:52:00,720.0,"['KNR', 'NH']","['NH', 'KNR']",True,0.0
B/12/17,34052,0,34117,0,07:54:00,08:05:00,660.0,"['NAI', 'KBGB']","['KBGB', 'NAI']",True,0.0
B/12/17,34117,0,34126,0,09:03:00,09:22:00,1140.0,"['PQS', 'SDAH']","['SDAH', 'PQS']",True,0.0
B/12/17,34126,0,34125,0,10:14:00,10:23:00,540.0,"['NAI', 'KBGB']","['KBGB', 'NAI']",True,0.0
B/12/17,34125,0,34832,0,11:15:00,11:42:00,1620.0,"['PQS', 'SDAH']","['SDAH', 'PQS']",True,0.0
B/12/17,34832,0,34839,0,13:21:00,14:00:00,2340.0,"['GURN', 'DH']","['DH', 'GURN']",True,0.0
B/12/17,34839,0,34150,0,16:00:00,16:30:00,1800.0,"['PQS', 'SDAH']","['SDAH', 'PQS']",True,0.0
B/12/17,34150,0,31055,0,17:22:00,17:50:00,1680.0,"['NAI', 'KBGB']","['KBGB', 'NAI']",True,0.0
B/12/17,31055,0,31442,0,19:58:00,20:15:00,1020.0,"['KNR', 'NH']","['NH', 'KNR']",True,0.0
B/12/17,31442,0,33857,0,21:20:00,21:45:00,1500.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/18,33812,0,33511,0,05:05:00,05:18:00,780.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/18,33511,0,33518,0,07:30:00,07:42:00,720.0,"['TKF', 'HNB']","['HNB', 'TKF']",True,0.0
B/12/18,33518,0,31151,0,09:52:00,10:15:00,1380.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/18,31151,0,31152,0,11:42:00,16:05:00,15780.0,"['HYG', 'BDC']","['BDC', 'HYG']",True,0.0
B/12/18,31152,0,31435,0,17:40:00,18:05:00,1500.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/18,31435,0,31438,0,19:08:00,19:20:00,720.0,"['KNR', 'NH']","['NH', 'KNR']",True,0.0
B/12/18,31438,0,33445,0,20:24:00,21:12:00,2880.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/18,33445,0,33325,0,21:56:00,22:13:00,1020.0,"['HHR', 'BT']","['BT', 'KZPR']",False,0.0
B/12/19,33312,0,33315,0,06:25:00,07:52:00,5220.0,"['KZPR', 'BT']","['BT', 'KZPR']",True,0.0
B/12/19,33315,0,33314,0,09:12:00,09:26:00,840.0,"['TKF', 'HNB']","['HNB', 'TKF']",True,0.0
B/12/19,33440,0,31835,0,16:57:00,17:36:00,2340.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/19,31835,0,31724,0,19:49:00,20:44:00,3300.0,"['JKL', 'KNJ']","['KNJ', 'JKL']",True,0.0
B/12/2,31813,0,31802,0,08:00:00,08:40:00,2400.0,"['JKL', 'KNJ']","['KNJ', 'JKL']",True,0.0
B/12/2,31802,0,33655,0,11:00:00,11:20:00,1200.0,"['KGK', 'SDAH']","['SDAH', 'KGK']",True,0.0
B/12/2,33655,0,33656,0,12:37:00,12:47:00,600.0,"['ASKR', 'HB']","['HB', 'ASKR']",True,0.0
