sid,stn,sch_arr,sch_dep,day_change,arr_path,dep_path,pass,arr_route,dep_route
3140,RHA,,2025-07-03 07:30:00,0.0,,"['RHA', 'PDX', 'CDH']",['PDX'],,"('RHA', 'PDX')"
3140,CDH,2025-07-03 07:40:00,2025-07-03 07:41:00,0.0,"['RHA', 'PDX', 'CDH']","['CDH', 'PXR', 'SMX']",['PXR'],"('PDX', 'CDH')","('CDH', 'PXR')"
3140,SMX,2025-07-03 07:45:00,2025-07-03 07:46:00,0.0,"['CDH', 'PXR', 'SMX']","['SMX', 'MPJ', 'KYI']",['MPJ'],"('PXR', 'SMX')","('SMX', 'MPJ')"
3140,KYI,2025-07-03 07:53:00,2025-07-03 07:54:00,0.0,"['SMX', 'MPJ', 'KYI']","['KYI', 'KPA']",[],"('MPJ', 'KYI')","('KYI', 'KPA')"
3140,KPA,2025-07-03 07:56:00,2025-07-03 07:57:00,0.0,"['KYI', 'KPA']","['KPA', 'KPAW', 'HLR', 'NH']","['KPAW', 'HLR']","('KYI', 'KPA')","('KPA', 'KPAW')"
3140,NH,2025-07-03 08:10:00,2025-07-03 08:11:00,0.0,"['KPA', 'KPAW', 'HLR', 'NH']","['NH', 'KNR', 'JGDL', 'SNR']","['KNR', 'JGDL']","('HLR', 'NH')","('NH', 'KNR')"
3140,SNR,2025-07-03 08:19:00,2025-07-03 08:20:00,0.0,"['NH', 'KNR', 'JGDL', 'SNR']","['SNR', 'IP', 'PTF', 'BP']","['IP', 'PTF']","('JGDL', 'SNR')","('SNR', 'IP')"
3140,BP,2025-07-03 08:30:00,2025-07-03 08:31:00,0.0,"['SNR', 'IP', 'PTF', 'BP']","['BP', 'TGH', 'KDH', 'SEP', 'AGP', 'BLH', 'DDJ']","['TGH', 'KDH', 'SEP', 'AGP', 'BLH']","('PTF', 'BP')","('BP', 'TGH')"
3140,DDJ,2025-07-03 08:51:00,2025-07-03 08:52:00,0.0,"['BP', 'TGH', 'KDH', 'SEP', 'AGP', 'BLH', 'DDJ']","['DDJ', 'BNXR']",[],"('BLH', 'DDJ')","('DDJ', 'BNXR')"
3140,BNXR,2025-07-03 08:55:00,2025-07-03 08:56:00,0.0,"['DDJ', 'BNXR']","['BNXR', 'KGK', 'SDAH']",['KGK'],"('DDJ', 'BNXR')","('BNXR', 'KGK')"
3140,SDAH,2025-07-03 09:12:00,,0.0,"['BNXR', 'KGK', 'SDAH']",,[],"('KGK', 'SDAH')",
30111,BLN,,2025-07-03 18:14:00,0.0,,"['BLN', 'LKF']",[],,"('BLN', 'LKF')"
30111,LKF,2025-07-03 18:19:00,2025-07-03 18:20:00,0.0,"['BLN', 'LKF']","['LKF', 'TLG']",[],"('BLN', 'LKF')","('LKF', 'TLG')"
